state,substate,state_fips,county_fips,geography,closing_of_public_venues,gathering_size_10_0,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_500_to_101,lockdown,non-essential_services_closure,Other,religious_gatherings_banned,school_closure,shelter_in_place,social_distancing,nyt_effective_date,crwd_business_closed,crwd_college_closed,crwd_lockdown,crwd_religion_closed,crwd_school_closed,hikma_event_date,hikma_school_date,hikma_shelter_date,hikma_shelter_enforcement_date,hikma_testing_date,hikma_transport_date,hikma_work_date,effective_date_sip,source_sip,effective_date_business,source_business
Washington,NA,53,NA,state,03/16,03/23,03/16,NA,03/11,NA,03/23,NA,03/23,03/13,03/23,NA,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,nyt,03/16,keystone_cpv
West Virginia,NA,54,NA,state,03/18,03/24,NA,NA,NA,NA,03/24,NA,NA,03/13,03/24,03/24,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,nyt,03/18,keystone_cpv
Wisconsin,Dane,55,55025,county,03/19,NA,NA,NA,03/14,NA,NA,NA,03/14,NA,NA,03/19,NA,03/25,03/16,03/25,03/15,03/19,03/16,03/16,03/24,NA,NA,NA,03/24,03/25,crwd_lockdown,03/19,keystone_cpv
Wisconsin,Milwaukee,55,55079,county,03/20,03/24,NA,NA,NA,NA,03/20,NA,03/20,03/20,03/20,03/20,NA,03/25,03/15,03/25,03/12,03/14,03/12,NA,03/23,03/23,NA,NA,03/23,03/20,keystone_sip,03/20,keystone_cpv
Wisconsin,Waukesha,55,55133,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/25,03/09,03/25,03/13,03/14,03/13,03/13,03/23,NA,NA,NA,03/23,03/25,crwd_lockdown,03/25,crwd_business
Wisconsin,NA,55,NA,state,03/17,03/17,03/17,NA,NA,NA,03/25,NA,03/17,03/18,03/25,03/17,03/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,nyt,03/17,keystone_cpv
Wyoming,NA,56,NA,state,03/30,03/19,NA,NA,NA,NA,03/30,NA,03/30,03/15,NA,04/03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,keystone_cpv
NA,NA,08,08007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,effective_date_sip
NA,NA,08,08067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,NA,NA,NA,NA,NA,03/26,03/23,04/26,NA,03/20,03/16,04/26,NA,NA,04/26,hikma_work
NA,NA,08,08097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,effective_date_sip
NA,NA,12,12035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,effective_date_sip
NA,NA,12,12073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/25,03/23,03/24,03/18,03/18,03/24,03/12,03/25,NA,NA,NA,04/01,NA,NA,03/25,crwd_business
NA,NA,12,12087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,effective_date_sip
NA,NA,13,13051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,NA,NA,NA,NA,NA,04/02,04/02,04/02,04/02,04/17,NA,04/20,NA,NA,04/20,hikma_work
NA,NA,13,13059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/20,03/20,04/16,03/20,03/14,03/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/20,crwd_business
NA,NA,13,13099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,effective_date_sip
NA,NA,20,20043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,effective_date_sip
NA,NA,20,20045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/24,03/13,03/24,03/22,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,20,20103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/24,NA,03/24,03/17,03/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,20,20121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,effective_date_sip
NA,NA,20,20191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,effective_date_sip
NA,NA,28,28071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,effective_date_sip
NA,NA,28,28075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/31,NA,NA,NA,NA,NA,03/27,03/16,03/31,03/31,NA,NA,03/27,NA,NA,03/27,hikma_work
NA,NA,28,28081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,NA,NA,NA,NA,NA,03/21,03/16,03/22,NA,NA,NA,03/22,NA,NA,03/22,hikma_work
NA,NA,29,29019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/25,03/11,03/25,03/16,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,crwd_business
NA,NA,29,29021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,effective_date_sip
NA,NA,29,29037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,effective_date_sip
NA,NA,29,29047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/16,03/19,03/23,03/16,03/18,03/16,03/18,03/24,03/24,03/20,NA,03/24,NA,NA,03/16,crwd_business
NA,NA,29,29051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,effective_date_sip
NA,NA,29,29077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,NA,NA,NA,NA,NA,03/16,03/19,03/24,03/24,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,29,29099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,effective_date_sip
NA,NA,29,29165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,effective_date_sip
NA,NA,29,29175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,effective_date_sip
NA,NA,29,29177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,effective_date_sip
NA,NA,37,37021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,03/10,03/16,03/10,03/13,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/10,crwd_business
