state,substate,state_fips,county_fips,geography,closing_of_public_venues,gathering_size_10_0,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_500_to_101,lockdown,non-essential_services_closure,Other,religious_gatherings_banned,school_closure,shelter_in_place,social_distancing,nyt_effective_date,crwd_business_closed,crwd_college_closed,crwd_lockdown,crwd_religion_closed,crwd_school_closed,hikma_event_date,hikma_school_date,hikma_shelter_date,hikma_shelter_enforcement_date,hikma_testing_date,hikma_transport_date,hikma_work_date,effective_date_sip,source_sip,effective_date_business,source_business
NA,NA,36,36005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/20,03/17,03/20,04/03,04/10,04/10,03/20,NA,NA,03/20,hikma_work
NA,NA,37,37057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/16,03/27,04/16,03/23,04/14,03/27,NA,NA,03/27,hikma_work
NA,NA,37,37097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,03/16,03/30,NA,NA,03/18,03/30,NA,NA,03/30,hikma_work
NA,NA,37,37101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/23,03/23,NA,NA,NA,03/23,NA,NA,03/23,hikma_work
NA,NA,37,37129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/20,03/16,03/30,NA,NA,NA,03/30,NA,NA,03/30,hikma_work
NA,NA,38,38017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/07,03/19,04/07,NA,04/25,NA,NA,NA,NA,04/07,effective_date_sip
NA,NA,39,39017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,03/12,03/22,NA,NA,NA,03/15,NA,NA,03/15,hikma_work
NA,NA,39,39041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/14,03/14,03/23,NA,NA,04/13,04/06,NA,NA,04/06,hikma_work
NA,NA,39,39057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/12,03/22,NA,NA,NA,03/22,NA,NA,03/22,hikma_work
NA,NA,39,39085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/16,03/23,NA,NA,NA,03/23,NA,NA,03/23,hikma_work
NA,NA,04,04001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/29,03/23,NA,NA,NA,03/23,NA,NA,03/23,hikma_work
NA,NA,04,04003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,03/30,03/30,04/01,NA,03/24,03/30,NA,NA,03/30,hikma_work
NA,NA,40,40031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/06,04/01,NA,NA,NA,03/25,NA,NA,03/25,hikma_work
NA,NA,40,40145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,04/06,03/18,NA,04/10,NA,03/18,NA,NA,03/18,hikma_work
NA,NA,04,04025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/31,03/16,03/31,NA,NA,NA,03/31,NA,NA,03/31,hikma_work
NA,NA,44,44003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/16,03/28,NA,03/31,NA,03/30,NA,NA,03/30,hikma_work
NA,NA,45,45007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/17,04/06,NA,NA,NA,04/01,NA,NA,04/01,hikma_work
NA,NA,45,45035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/16,04/01,NA,NA,NA,04/01,NA,NA,04/01,hikma_work
NA,NA,45,45041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/15,04/07,NA,NA,NA,03/31,NA,NA,03/31,hikma_work
NA,NA,45,45051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/07,03/24,04/07,NA,NA,NA,04/01,NA,NA,04/01,hikma_work
NA,NA,45,45057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,03/15,04/07,NA,NA,NA,03/31,NA,NA,03/31,hikma_work
NA,NA,45,45077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,03/15,04/07,NA,NA,NA,03/31,NA,NA,03/31,hikma_work
NA,NA,45,45083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/16,NA,04/06,03/30,NA,03/19,NA,NA,03/19,hikma_work
NA,NA,45,45085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/15,04/07,NA,05/01,NA,04/07,NA,NA,04/07,hikma_work
NA,NA,47,47001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,03/16,04/24,NA,04/26,NA,04/28,NA,NA,04/28,hikma_work
NA,NA,47,47009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,03/16,03/24,NA,05/02,NA,03/28,NA,NA,03/28,hikma_work
NA,NA,47,47011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,03/13,04/24,NA,05/02,NA,04/28,NA,NA,04/28,hikma_work
NA,NA,47,47113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,03/20,04/24,NA,04/18,NA,04/28,NA,NA,04/28,hikma_work
NA,NA,47,47119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,03/16,04/24,NA,04/18,NA,04/28,NA,NA,04/28,hikma_work
NA,NA,47,47141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,03/16,04/24,NA,03/19,NA,04/28,NA,NA,04/28,hikma_work
NA,NA,47,47155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,03/16,04/24,NA,04/18,NA,04/28,NA,NA,04/28,hikma_work
NA,NA,47,47163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,04/15,04/24,NA,04/20,NA,04/28,NA,NA,04/28,hikma_work
NA,NA,48,48135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,03/16,03/30,NA,04/27,NA,03/30,NA,NA,03/30,hikma_work
NA,NA,48,48187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,03/16,04/02,NA,04/22,NA,04/03,NA,NA,04/03,hikma_work
NA,NA,48,48245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,03/23,03/27,03/27,03/13,NA,03/19,NA,NA,03/19,hikma_work
NA,NA,05,05007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,03/19,NA,NA,04/13,NA,03/26,NA,NA,03/26,hikma_work
NA,NA,51,51710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/13,03/30,NA,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,55,55105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/16,03/24,NA,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,06,06025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,03/17,03/18,NA,NA,NA,03/21,NA,NA,03/21,hikma_work
NA,NA,06,06049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/02,03/16,05/02,NA,NA,NA,05/02,NA,NA,05/02,hikma_work
NA,NA,06,06053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,03/16,03/18,04/04,NA,NA,03/18,NA,NA,03/18,hikma_work
NA,NA,06,06099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/19,03/19,04/14,04/20,NA,03/19,NA,NA,03/19,hikma_work
NA,NA,08,08014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,03/23,04/26,NA,03/20,03/16,04/26,NA,NA,04/26,hikma_work
NA,NA,08,08043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/23,03/26,NA,NA,NA,03/19,NA,NA,03/19,hikma_work
NA,NA,08,08045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,03/23,04/26,NA,03/20,03/16,04/26,NA,NA,04/26,hikma_work
NA,NA,08,08077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/23,04/26,03/26,NA,03/16,04/26,NA,NA,04/26,hikma_work
NA,NA,08,08101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,03/16,03/25,03/26,04/22,NA,03/25,NA,NA,03/25,hikma_work
